Game,"Skin Name","Withdraw Price"
CS2,"★ StatTrak™ M9 Bayonet | Doppler Phase 2 (Factory New)",1510.35
CS2,"★ M9 Bayonet | Ultraviolet (Factory New)",1508.73
CS2,"★ StatTrak™ M9 Bayonet | Gamma Doppler Phase 3 (Factory New)",1504.79
CS2,"StatTrak™ AK-47 | Fire Serpent (Battle-Scarred)",1502.2
CS2,"★ Karambit | Doppler Phase 4 (Factory New)",1491.49
CS2,"Souvenir AK-47 | Gold Arabesque (Battle-Scarred)",1488.1
CS2,"★ M9 Bayonet | Doppler Phase 2 (Minimal Wear)",1486.71
CS2,"Souvenir AWP | Desert Hydra (Field-Tested)",1485.63
CS2,"★ M9 Bayonet | Doppler Phase 2 (Factory New)",1483.32
CS2,"AWP | Desert Hydra (Well-Worn)",1480.15
CS2,"★ StatTrak™ M9 Bayonet | Gamma Doppler Phase 1 (Factory New)",1478.77
CS2,"★ StatTrak™ Karambit | Doppler Phase 3 (Factory New)",1472.55
CS2,"★ Flip Knife | Gamma Doppler Emerald (Factory New)",1472.24
CS2,"★ M9 Bayonet | Gamma Doppler Phase 4 (Minimal Wear)",1470.86
CS2,"★ Driver Gloves | Lunar Weave (Minimal Wear)",1469.31
CS2,"★ Nomad Knife | Doppler Ruby (Minimal Wear)",1463.73
CS2,"★ Specialist Gloves | Crimson Kimono (Battle-Scarred)",1462.47
CS2,"★ Hand Wraps | Cobalt Skulls (Factory New)",1462.31
CS2,"★ M9 Bayonet | Gamma Doppler (Minimal Wear)",1461.13
CS2,"★ Butterfly Knife",1460.69
CS2,"M4A4 | Eye of Horus (Factory New)",1452.23
CS2,"★ StatTrak™ M9 Bayonet | Gamma Doppler Phase 4 (Factory New)",1446.99
CS2,"AWP | Desert Hydra (Battle-Scarred)",1445.3
CS2,"★ Bayonet | Doppler Sapphire (Factory New)",1439.45
CS2,"★ Nomad Knife | Doppler Ruby (Factory New)",1439.45
CS2,"★ Karambit | Doppler Phase 1 (Factory New)",1431.75
CS2,"★ StatTrak™ Karambit | Doppler Phase 1 (Factory New)",1431.75
CS2,"★ Karambit | Doppler Phase 3 (Factory New)",1431.6
CS2,"★ Karambit | Doppler Phase 3 (Minimal Wear)",1424.01
CS2,"★ Driver Gloves | Black Tie (Factory New)",1414.96
CS2,"★ Karambit | Doppler Phase 1 (Minimal Wear)",1411.12
CS2,"★ Karambit | Doppler (Factory New)",1403.89
CS2,"★ Butterfly Knife | Slaughter (Minimal Wear)",1403.11
CS2,"★ Specialist Gloves | Crimson Web (Factory New)",1402.65
CS2,"★ StatTrak™ Butterfly Knife",1400.12
CS2,"★ Karambit | Doppler (Minimal Wear)",1397.88
CS2,"★ StatTrak™ Karambit | Doppler (Factory New)",1397.88
CS2,"★ Karambit | Lore (Factory New)",1392.72
